A,label
데이터 버스는 양뱡향의 버스야. 데이터가 중앙처리장치에서 기타장치로 나오고 들어갈 수 있어.,0
주소버스를 통해 주기억장치의 데이터를 읽고 쓰기 위한 주소 또는 입출력 장치가 결정돼.,0 
단방향의 버스야. CPU에서는 레지스터 이름 자체가 주소이기 때문에 필요하지 않아.,0
제어버스는 외부장치에서 CPU에 어떤 동작을 요구하는 각종 제어신호가 전송된다.,0
제어신호의 종류에는 read/write/interrupt/reset 신호가 있다. ,0
대역폭이란 데이터가 이동하는 버스를 통해 단위 시간당 전송하는 데이터의 크기다. 단위로는 MB/s와 GB/s가 있다.,0
대역폭은 해당 버스의 클록 주기와 데이터 버스의 폭으로 결정된다.,0
버스를 통해 단위시간 당 전송할 수 있는 데이터의 양이다. 버스대역폭=버스의 클럭 주파수 X 데이터 버스의 폭,0
다수의 장치들이 하나의 시스템 버스에 동시에 사용을 요구하는 현상을 버스 경합이라하는데 이를 제어하는 것이 버스 중재기이다.,0
한 장치씩 차례대로 사용할 수 있게 중재하는 하드웨어 장치를 이른다.,0
어떤 장치가 시스템 버스를 사용하기 위해서는 버스 중재기에 버스 요청 신호를 보내고 버스 중재기가 버스 승인 신호를 장치에 보내 장치가 버스를 사용할 수 있게 한다. 버스 승인 받은 장치는 버스 사용 중지 신호를 보내고 버스를 사용한다.,0
버스 중재기는 장치와 버스 요청 버스 승인 버스 사용중지(Bus Busy)신호를 주고 받으며 버스 경합을 제어한다., 0
버스 중재 방식에는 병렬 중재 방식과 직렬 중재 방식 폴링 방식이있다., 0
병렬 중재 방식은 각 장치 마다 신호선을 연결하는 방법이다. 직렬 중재 방식은 모든 장치가 모든 신호선을 공유하는 데이지 체인 방식이다. 폴링방식은 버스 중재기가 각 장치에게 버스 사용 여부를 체크한다., 0
버스 중재 방식 중 하나이다. 주기적 검사 방식이라고도 한다., 0
버스 중재기가 각 장치에게 버스 사용 여부를 체크하는 방식이다. 하드웨어 폴링방식과 소프트웨어 폴링 방식이 있다., 0
하드웨어 폴링방식은 버스를 각 장치가 버스 중재기로 전송한 고유 번호를 통해 버스 사용을 요구한 장치를 찾는 데 사용한다. 소프트웨어 폴링 방식은 폴링의 순서를 중재기 내에서 CPU가 관리한다., 0
버스 중재를 위해 폴링 회선이 따로 중재기와 각 장치와 연결된 방식이다. 각 장치의 고유 번호대로 순차적으로 작동해 사용권을 받는데 시간이 길어진다., 0
