A,label
그런 날이 있더라고요., 0
마음이 조금이나마 정리되었길 바랄게요., 0
언젠간 왔을 이별인가봐요., 0
부디 편안히 잘 수 있긴 바랄게요., 0
제가 다 들어 드릴게요., 0
그러게요. 비가 추적추적 내리네요., 0
이제 좋은 사람 만날 일만 남았습니다., 0
잘 생각하셨어요. 처음엔 힘들지만 곧 괜찮아질거라 믿어요., 0
아픔을 헤아려도 달라지는 건 없어요., 0
그럴 수 있어요., 0
모두를 위한 결심인지 확인해보세요., 0
힘들 때 슬픈 노래는 우리를 잠식시키는 것 같아요., 0
저에게 사탕을 주세요., 0
그런 날이 있더라고요., 0
제가 다 들어드릴게요., 0
글을 적어보는건 감정 정리에 큰 도움이 되는 것 같아요., 0
후회없으실 거라 믿어요., 0
기억에서 지울 순 없지만 최대한 생각 말아보셔요., 0
잘 버티고 있어요., 0
긍정적인 최고이길 바라요., 0
이별이 변덕스럽게 만들곤 하지요., 0
모든 이별에는 후유증이 있기 마련이에요., 0
모든 이별에는 후유증이 있기 마련이에요., 0
이별을 받아들일 준비도 없었는데 많이 당황했겠어요., 0
소식을 들었나봐요., 0
사랑의 예의가 없네요., 0
반가워요., 0
끝을 아는 것도 중요한 것 같아요., 0
그립지만 지난 일이네요., 0
이별이 만든 허상일 수도 있어요., 0
해주세요., 0
차단하는게 서로에게 좋을 때가 있어요., 0
제가 들어드릴게요., 0
제가 당신 곁에 있어드릴게요., 0
이런 날 더욱 적적하지요., 0
잘 오셨어요. 말씀 해보세요., 0
많이 답답할거라 생각해요., 0
연락하면 후회할지도 몰라요., 0
제가 도움이 되고 싶네요., 0
새로운 마음가짐으로 다시 시작해요., 0
안 좋은 일이 있었나봐요., 0
바쁘게 살거나 취미생활을 해서 다른 생각을 못하게 하는 것 추천해드려요., 0
마음이 허전하겠어요., 0
마음이 허전하겠어요., 0
마음이 허전하겠어요., 0
사랑했던 연인을 잊어버리는건 힘들어요., 0
조금 후련해졌길 바랍니다., 0
허전함에 이랬다 저랬다 해요., 0
궁금하네요., 0
너무 많은 생각을 하지 마세요., 0
그게 많이 괴로웠을 수 있어요., 0
직접 물어보세요., 0
변덕스러운 사랑 때문에 힘들어하지 말아요., 0
달라지는 게 없어도 실망하지 말아요. 이별 앞에 태연한 사람은 없을 거예요., 0
관계를 끝내는건 생각보다 힘들어요., 0
매번 반복된다고 해도 너무 자책하지 말아요., 0
성별에 따라 정해진 행동은 없답니다., 0
단호하게 거절하세요., 0
옛 연인이 궁금했을 수 있어요., 0
사람을 잊는다는 건 쉬운 일이 아니니까요., 0
타인과 함께 했던 경험 때문일 것 같아요., 0
아무렇지 않아 보여도 많이 힘들거예요., 0
그럴 수도 있어요., 0
이별은 사람을 무기력하게 해요., 0
이별에 익숙해지는 순간 추억도 색을 잃을 거예요., 0
아무런 감정 없이 연락을 지속할 수 없으니까요., 0
많이 사랑했던 분인가봐요., 0
많이 아껴주셨나봐요., 0
관심을 끄세요., 0
자신에게 물어보세요., 0
그분도 많이 힘들 거예요., 0
잠시 지쳤을 뿐이에요., 0
사랑했던 사람이니까요., 0
좋았던 기억만 남았다면 축복 받은거라 생각해요., 0
많이 답답할거라 생각해요., 0
인고의 시간이 있었을거라 생각해요., 0
좋은 마음가짐과 태도를 가지고 있네요., 0
사랑의 빈자리인가봐요., 0
많이 쓸쓸하겠네요., 0
새로운 일을 경험해 보세요., 0
외로움이 더 커지기 전에 괜찮아졌으면 좋겠어요., 0
제가 곁에 있을게요., 0
혼자가 아니에요., 0
많이 힘든가봅니다., 0
부담갖지 말고 자는 것도 좋아요., 0
제가 뒤에서 지켜드릴게요., 0
무슨 고민인지 말해주세요., 0
저도 같이 들어요., 0
후폭풍이 왔나봐요., 0
좀 더 일찍 주무세요., 0
때론 혼자인게 편할때가 있죠., 0
욕 먹을 짓 하지마세요., 0
지나간 사람은 얼른 떨쳐버리세요., 0
마음이 후련하길 바랍니다., 0
이제 연락하지 마세요., 0
단지 받아들였을 뿐이에요., 0
사랑했던 정도를 가늠하지 말아요., 0
잊을 순 없지만 잊으려 노력하는게 좋아요., 0
끝을 아는 것도 중요한 것 같아요., 0
기억 저편에 밀어두세요., 0
이제 기억을 놓아주세요., 0
마음의 여유가 생기면 새로운 출발을 하기도 좋을 거예요., 0
우리를 위해 같이 애써봐요., 0
기분이 이상했겠어요., 0
인사는 굳이 않하는게 좋은 것 같네요., 0
많이 당황했겠어요., 0
다 티나요., 0
함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요., 0
비난과 자책을 멈추세요., 0
함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요., 0
함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요., 0
함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요., 0
힘들 때 같이 있는 거요., 0
운동은 기분전환에 많은 도움이 돼요. 그때 만큼은 잡념을 떨칠 수도 있죠., 0
정말 잘 하고 있어요. 자신을 위한 투자만큼 갑진 건 없어요., 0
의미부여는 자신을 더 작게 만들어요., 0
인연이 거기까지 였나봐요., 0
스스로 많이 다독여주세요., 0
따뜻한 밥 먹고 힘내봐요., 0
거울을 보면서 얼굴 망가뜨리기 놀이 해 보신 적 있으세요? 의외로 재미 있어요., 0
아니에요. 전 쓰레기가 아니에요., 0
일부로 안 웃어도 돼요., 0
척하는게 힘들죠., 0
누구나 그럴 거예요., 0
누구나 이별 앞에 냉정할 수 있어요., 0
감정의 정리는 쉬운 일이 아니니까요., 0
그런건가봐요., 0
두분이 원하다면 함께 치우면 될 것 같아요., 0
기분 탓인지 월요일은 항상 힘든 것 같아요., 0
제가 위로가 되어 드릴게요., 0
제게 기대세요., 0
정말 많이 힘들었죠. 때론 힘내려 노력하지 않아도 돼요., 0
위로가 되었다니 감사해요., 0
고마워요. 저한테도 위로가 될 거예요., 0
같이 들어봐요., 0
와닿지 않을 수 있어도 생각보다 힘이 된답니다., 0
그렇게 말해주시니 제가 기분이 좋네요., 0
정말 볼 수 없겠네요., 0
노래 가사가 공감이 많이 되네요., 0
짜증날만 해요., 0
집에 들어가 뜨거운 물로 샤워하고 나면 쌓였던 생각들이 사라질지도 몰라요., 0
에휴., 0
실감이 안날 수 있어요., 0
인생은 반복의 연속이지요., 0
음악이 도움이 되길 바랍니다., 0
저도 헤어진 연인과 함께 들었던 음악은 유난히 싫더라고요., 0
저는 비밀을 보장해요. 답답하다면 저에게 말해보세요., 0
저도 같이 응원할게요., 0
의미부여는 자신을 더 작게 만들어요., 0
괜한 기대는 버리세요., 0
쉬운 일이 아니긴 하죠., 0
마음처럼 쉽지 않은가봐요., 0
증거를 찾아보세요., 0
사랑 앞에 판단력은 흐려지니까요., 0
달콤한 커피 한 잔 마셔보세요., 0
슬플 영화를 보고 속시원하게 울어보세요., 0
이 글이 마음을 정리하는데 도움이 될 거예요., 0
사람 맘은 알 길이 없어요., 0
지나갈 거라 믿어요., 0
명절에는 신경써야할 것들이 너무나 많죠. 이번 명절에는 혼자만의 여행을 떠나보는 건 어떨까요?, 0
사람 마음이 참 간사한 것 같아요., 0
무슨 생각인지 알 길이 없나봐요., 0
여기서 끝내기엔 당신은 소중한 사람입니다., 0
현재를 즐기면서 행복하게 사세요., 0
반지는 없던가요? 주변 사람들한테 물어보는 건 어떨까요., 0
사실 그분에게 직접 물어보는게 좋아요., 0
좋은 생각만 나면 좋을텐데., 0
어떤 행동인데요?, 0
그런 날도 있지요., 0
말씀해보세요., 0
예상치 못한 이별에 면역이 덜 되었나봐요., 0
슬픈 예감은 틀린 적이 없죠., 0
괜한 의미부여는 하지 마세요., 0
받아들여야할 부분도 있을 거예요., 0
고민한다면 미련일 수 있어요., 0
말씀해보세요., 0
자신을 좀 더 사랑한다면 분명 사랑스러운 분이 될거예요., 0
아픔을 가늠할 수 없었으니까요., 0
상대방이 예의가 없네요., 0
가끔은 이기적이어도 괜찮아요., 0
알 수 없는게 사람 마음인가봐요., 0
인연이 거기까지일 수도 있어요., 0
충분히 잘하고 있을거라 생각해요., 0
자책하지 말아요. 마음이 아프네요., 0
아프면 안 돼요. 그럼 제 마음이 아파요., 0
알면서도 잘 안되는게 사람 마음인가봐요., 0
알면서도 잘 안되는게 사람 마음인가봐요., 0
그 말씀 꼭 지키기 바랄게요., 0
심경의 변화 있나봅니다., 0
저도 알려주세요., 0
날씨로 사람을 기억하면 매일 힘들 거예요., 0
싫어하지 말아요., 0
헤아릴 수 없는게 사랑이죠., 0
객관적으로 생각해보세요., 0
틀린 생각은 없어요., 0
알면서도 또 실수하는건 안 돼요., 0
어떤 이별이지 궁금하네요., 0
당신은 축복과 함께 선택 받은 사람인가봐요., 0
알다가도 모르는게 연애 같아요., 0
후폭풍일 수 있지요., 0
고민하고 있다면 그게 맞을거예요., 0
저도 그런 사람 만나고 싶어요., 0
흔하지 않죠., 0
자신을 사랑해주세요., 0
알 수 없는게 인생이에요., 0
그럴 수도 있겠어요., 0
기대하면서 기다리면 자신만 다쳐요., 0
나쁜 사람은 얼른 떨쳐버리세요., 0
끝이 다가옴을 직감하기도 해요., 0
분명 나아질 거예요., 0
인연이 거기까지인 가봐요., 0
그렇게 우리는 성장하나봐요., 0
모두를 위해서 그게 좋을지도 몰라요., 0
운명이 아니었을지도 모르겠어요., 0
더 이상의 잘못은 이해하지 못할 거예요., 0
더 나은 내일이 올 거예요., 0
마음의 준비를 하세요., 0
좋은 생각이에요. 혼자하는 여행은 기분전환에 도움이 돼요., 0
슬픈 예감은 틀린 적이 없죠., 0
사람을 잊는다는 건 쉬운 일이 아니니까요., 0
이별을 헤아리지 말아요., 0
이별을 헤아리는 건 큰 도움이 안 돼요., 0
짧지 않은 시간이네요., 0
새로운 시작 응원해요., 0
