Q,A,label
시스템 버스란?,컴퓨터 시스템의 구성요소들을 연결해주는 통로야.,0
시스템 버스,컴퓨터 시스템의 구성요소들을 연결해주는 통로야.,0
시스템 버스가 뭐지?,컴퓨터 시스템의 구성요소들을 연결해주는 통로야.,0
컴퓨터 시스템의 구성요소,중앙처리장치 기억장치 입출력장치가 있어.,0
컴퓨터 시스템의 구성요소란?,중앙처리장치 기억장치 입출력장치가 있어.,0
버스의 종류는?,데이터 주소 제어 버스가 있어.,0
시스템 버스의 종류는?,데이터 주소 제어 버스가 있어.,0
데이터 버스란?,데이터 전송 시 사용되는 선이야.,0
데이터 버스,데이터 전송 시 사용되는 선이야.,0
데이터 버스의 특징,양방향 전송이 가능하다.,0
주소 버스,데이터 쓸 때 주소 지정하기 위한 선이다.,0
주소 버스란?,데이터 쓸 때 주소 지정하기 위한 선이다.,0
주소 버스의 특징,단방향 전송이 가능하다.,0
제어 버스란?,제어 신호들을 전송하는 선이다.,0
제어 버스,제어 신호들을 전송하는 선이다.,0
중재 버스란?,버스를 순서대로 사용할 수 있게 해주는 동작이다.,0
중재 버스,버스를 순서대로 사용할 수 있게 해주는 동작이다.,0
버스 마스터란?,버스 사용의 주체가 되는 요소들이다.,0
버스 마스터,버스 사용의 주체가 되는 요소들이다.,0
버스 마스터가 뭐지?,버스 사용의 주체가 되는 요소들이다.,0
버스 마스터는 뭘까?,버스 사용의 주체가 되는 요소들이다.,0
인터럽트 버스,인터럽트를 위한 제어 신호선들의 집합이다.,0
인터럽트 버스란?,인터럽트를 위한 제어 신호선들의 집합이다.,0
인터럽트 버스가 뭘까?,인터럽트를 위한 제어 신호선들의 집합이다.,0
인터럽트 버스는 뭐야?,인터럽트를 위한 제어 신호선들의 집합이다.,0
버스 대역폭이 뭐야?,단위 시간당 전송할 수 있는 데이터 양이다.,0
버스 대역폭,단위 시간당 전송할 수 있는 데이터 양이다.,0
동기식 버스,공통의 버스 클럭을 기준으로 발생한다.,0
동기식 버스란?,공통의 버스 클럭을 기준으로 발생한다.,0
동기식 버스가 뭐야?,공통의 버스 클럭을 기준으로 발생한다.,0
비동기식 버스는?,버스 동작 발생 여부에 따라 결정된다.,0
비동기식 버스,버스 동작 발생 여부에 따라 결정된다.,0
비동기식 버스가 뭐야?,버스 동작 발생 여부에 따라 결정된다.,0
비동기식 버스의 장점,시간 낭비를 하지 않는다.,0
비동기식 버스 장점,시간 낭비를 하지 않는다.,0
비동기식 버스의 단점,인터페이스 회로가 복잡하다.,0
비동기식 버스 단점,인터페이스 회로가 복잡하다.,0
동기식 버스의 장점,인터페이스 회로가 간단하다.,0
동기식 버스 장점,인터페이스 회로가 간단하다.,0
동기식 버스 단점,대기하는 시간이 많아진다.,0
동기식 버스의 단점,대기하는 시간이 많아진다.,0
동기식 버스 단점이 뭐야?,대기하는 시간이 많아진다.,0
버스 중재란?,버스 경합 발생 시 순서대로 사용할 수 있게 한다.,0
버스 중재,버스 경합 발생 시 순서대로 사용할 수 있게 한다.,0
폴링 방식이 뭐야?,주기적으로 사용 승인 여부를 검사한다.,0
폴링 방식,주기적으로 사용 승인 여부를 검사한다.,0
폴링 방식이란?,주기적으로 사용 승인 여부를 검사하는 것.,0
폴링 방식의 종류,소프트웨어 폴링과 하드웨어 폴링이 있다.,0
폴링 방식의 종류는?,소프트웨어 폴링과 하드웨어 폴링이 있다.,0
트랙이 뭐야?,디스크를 이루는 동심원이다.,0
트랙,디스크를 이루는 동심원이다.,0
섹터가 뭐야?,디스크에 한번에 쓰거나 읽는 데이터 크기의 최소 단위이다.,0
섹터,디스크에 한번에 쓰거나 읽는 데이터 크기의 최소 단위이다.,0
섹터란?,디스크에 한번에 쓰거나 읽는 데이터 크기의 최소 단위이다.,0
등각속도,같은 각도를 움직일때의 속도이다.,0
등각속도란?,같은 각도를 움직일때의 속도이다.,0
탐색시간이 뭐야?,트랙을 찾는 시간이다.,0
탐색시간,트랙을 찾는 시간이다.,0
탐색 시간,트랙을 찾는 시간이다.,0
회전 지연 시간이란?,섹터를 찾는 시간이다.,0
회전 지연 시간이 뭐야?,섹터를 찾는 시간이다.,0
회전 지연 시간,섹터를 찾는 시간이다.,0
전송 시간,디스크 버퍼에 저장하기까지의 시간이다.,0
전송 시간은 뭐야?,디스크 버퍼에 저장하기까지의 시간이다.,0
디스크 인터리빙이 뭐야?,디스크 배열에 분산 저장하는 기술이다.,0
디스크 인터리빙,디스크 배열에 분산 저장하는 기술이다.,0
인터리빙,디스크 인터리빙은 디스크 배열에 분산 저장하는 기술이다.,0
디스크 인터리빙의 단점,결함이 발생하면 전체 데이터 파일이 손상된다.,0
디스크 인터리빙 단점,결함이 발생하면 전체 데이터 파일이 손상된다.,0
디스크 반사 방식,데이터를 짝을 이루는 반사 디스크에 저장하는 것.,0
디스크 반사 방식이란?,데이터를 짝을 이루는 반사 디스크에 저장하는 것.,0
디스크 반사 방식이 뭐야?,데이터를 짝을 이루는 반사 디스크에 저장하는 것.,0
교체 알고리즘,블록을 캐시에 넣을 때 교체하는 알고리즘이다.,0
교체 알고리즘이란?,블록을 캐시에 넣을 때 교체하는 알고리즘이다.,0
교체 알고리즘이 뭐야?,블록을 캐시에 넣을 때 교체하는 알고리즘이다.,0
캐쉬 기억장치,주기억장치 속도 차이를 최소화시키는 장치.,0
캐쉬 기억장치란?,주기억장치 속도 차이를 최소화시키는 장치.,0
캐쉬 기억장치가 뭐야?,주기억장치 속도 차이를 최소화시키는 장치.,0
캐쉬 적중,데이터가 이미 캐쉬에 있는 것이다.,0
캐쉬 적중이란?,원하는 데이터가 이미 캐쉬에 있는 것이다.,0
캐쉬 적중이 뭐야?,원하는 데이터가 이미 캐쉬에 있는 것이다.,0
캐쉬 미스는?,원하는 데이터가 캐쉬에 없는 것이다.,0
캐쉬 미스,원하는 데이터가 캐쉬에 없는 것이다.,0
캐쉬 미스율은?,1에서 적중률을 뺀 수치이다.,0
캐쉬 미스율,1에서 적중률을 뺀 수치이다.,0
적중률이 뭐야?,캐쉬에 적중되는 정도이다.,0
적중률이 뭐야?,기억장치 액세스 횟수 분의 캐쉬에 적중되는 횟수이다.,0
캐쉬 적중률,기억장치 액세스 횟수 분의 캐쉬에 적중되는 횟수이다.,0
적중률,기억장치 액세스 횟수 분의 캐쉬에 적중되는 횟수이다.,0
지역성,특정 부분에 위치한 데이터를 빈번히 액세스하는 현상이다.,0
지역성이란?,특정 부분에 위치한 데이터를 빈번히 액세스하는 현상이다.,0
지역성,시간적 지역성 공간적 지역성 순차적 지역성이 있다.,0
